,product_id,address,price,area,bedrooms_num,bathrooms_num,district,city
0,42131530,"Quận 1, Hồ Chí Minh",26000000.0,110.0,3,2,Quận 1, Hồ Chí Minh
1,42128873,"Tân Bình, Hồ Chí Minh",220000000.0,320.0,0,0,Tân Bình, Hồ Chí Minh
4,41836809,"Quận 1, Hồ Chí Minh",28000000.0,121.0,3,2,Quận 1, Hồ Chí Minh
5,42025046,"Quận 9, Hồ Chí Minh",5000000.0,48.0,1,0,Quận 9, Hồ Chí Minh
6,40598049,"Quận 9, Hồ Chí Minh",6500000.0,69.0,2,2,Quận 9, Hồ Chí Minh
7,41339741,"Quận 9, Hồ Chí Minh",4000000.0,34.0,1,1,Quận 9, Hồ Chí Minh
8,42118094,"Quận 1, Hồ Chí Minh",40000000.0,118.0,3,2,Quận 1, Hồ Chí Minh
9,41761147,"Quận 1, Hồ Chí Minh",55000000.0,145.0,0,2,Quận 1, Hồ Chí Minh
10,42097617,"Quận 9, Hồ Chí Minh",3100000.0,10.0,1,1,Quận 9, Hồ Chí Minh
11,40892173,"Quận 9, Hồ Chí Minh",3000000.0,10.0,1,1,Quận 9, Hồ Chí Minh
12,42113576,"Nam Từ Liêm, Hà Nội",67200000.0,210.0,0,2,Nam Từ Liêm, Hà Nội
13,40080472,"Gia Lâm, Hà Nội",5500000.0,55.0,2,1,Gia Lâm, Hà Nội
14,42110892,"Đống Đa, Hà Nội",35000000.0,60.0,0,0,Đống Đa, Hà Nội
15,41017255,"Cầu Giấy, Hà Nội",45000000.0,245.0,0,1,Cầu Giấy, Hà Nội
16,42109750,"Nam Từ Liêm, Hà Nội",6000000.0,32.0,1,1,Nam Từ Liêm, Hà Nội
17,41933703,"Hai Bà Trưng, Hà Nội",11000000.0,57.0,1,1,Hai Bà Trưng, Hà Nội
18,42108648,"Hoài Đức, Hà Nội",5000000.0,30.0,1,1,Hoài Đức, Hà Nội
19,42105564,"Gia Lâm, Hà Nội",5000000.0,55.0,2,1,Gia Lâm, Hà Nội
20,42095663,"Bình Thạnh, Hồ Chí Minh",18000000.0,86.0,2,2,Bình Thạnh, Hồ Chí Minh
21,42105324,"Nhà Bè, Hồ Chí Minh",2300000.0,10.0,1,1,Nhà Bè, Hồ Chí Minh
22,42094557,"Cầu Giấy, Hà Nội",260000000.0,140.0,0,0,Cầu Giấy, Hà Nội
23,35670559,"Quận 7, Hồ Chí Minh",14000000.0,70.0,2,2,Quận 7, Hồ Chí Minh
24,42099686,"Bình Thạnh, Hồ Chí Minh",30000000.0,115.0,3,2,Bình Thạnh, Hồ Chí Minh
25,42099283,"Bình Thạnh, Hồ Chí Minh",18000000.0,86.0,0,0,Bình Thạnh, Hồ Chí Minh
26,42089767,"Nam Từ Liêm, Hà Nội",6000000.0,34.0,1,1,Nam Từ Liêm, Hà Nội
27,42098169,"Quận 9, Hồ Chí Minh",5000000.0,47.0,1,1,Quận 9, Hồ Chí Minh
28,42097191,"Quận 9, Hồ Chí Minh",2900000.0,10.0,1,1,Quận 9, Hồ Chí Minh
29,42097039,"Quận 10, Hồ Chí Minh",35000000.0,200.0,4,3,Quận 10, Hồ Chí Minh
